Minute,Home,Result_goal_diff,Tournament_Champions League ,Tournament_Copa del Rey ,Tournament_Coupe de France ,Tournament_Coupe de la Ligue ,Tournament_LaLiga ,Tournament_Ligue 1 
55,0,-1,False,False,False,False,True,False
56,1,3,False,False,False,False,True,False
80,0,3,False,False,False,False,True,False
74,0,1,False,False,False,False,True,False
22,1,3,False,False,False,False,True,False
32,1,3,False,False,False,False,True,False
69,1,3,False,False,False,False,True,False
71,1,3,False,False,False,False,True,False
58,0,-2,False,False,False,False,True,False
31,1,3,True,False,False,False,False,False
83,1,3,True,False,False,False,False,False
60,1,3,False,False,False,False,True,False
85,1,3,False,False,False,False,True,False
39,0,-4,False,False,False,False,True,False
22,1,4,False,False,False,False,True,False
53,1,4,False,False,False,False,True,False
88,1,3,False,True,False,False,False,False
83,1,4,False,False,False,False,True,False
31,1,6,False,False,False,False,True,False
25,0,-1,False,True,False,False,False,False
91,1,2,False,True,False,False,False,False
91,1,5,False,False,False,False,True,False
39,0,-1,False,False,False,False,True,False
32,1,6,False,False,False,False,True,False
51,1,6,False,False,False,False,True,False
18,1,2,True,False,False,False,False,False
41,0,0,False,False,False,False,True,False
81,0,-8,False,False,False,False,True,False
86,1,6,False,False,False,False,True,False
83,1,5,False,False,False,False,True,False
123,1,2,False,True,False,False,False,False
50,1,7,True,False,False,False,False,False
44,0,-4,False,False,False,False,True,False
81,0,-5,False,False,False,False,True,False
88,0,-5,False,False,False,False,True,False
64,0,1,False,False,False,False,True,False
89,1,4,True,False,False,False,False,False
48,1,2,False,True,False,False,False,False
21,0,-1,False,True,False,False,False,False
91,0,-4,False,False,False,False,True,False
40,0,-6,False,False,False,False,True,False
66,1,5,False,False,False,False,True,False
40,1,5,False,False,False,False,True,False
88,1,5,True,False,False,False,False,False
91,1,5,True,False,False,False,False,False
91,0,-3,False,False,False,False,True,False
21,1,3,False,False,False,False,True,False
25,0,-3,False,False,False,False,True,False
67,0,-3,False,False,False,False,True,False
71,0,-3,False,False,False,False,True,False
45,1,2,False,True,False,False,False,False
82,0,-3,False,False,False,False,False,True
31,1,4,False,False,False,False,False,True
90,1,4,False,False,False,False,False,True
69,0,-4,False,False,False,False,False,True
20,0,-5,True,False,False,False,False,False
63,1,3,True,False,False,False,False,False
5,1,4,False,False,False,False,False,True
40,1,4,False,False,False,False,False,True
66,0,-4,True,False,False,False,False,False
33,0,0,False,False,False,False,False,True
49,1,5,True,False,False,False,False,False
9,1,6,True,False,False,False,False,False
22,1,6,True,False,False,False,False,False
52,0,-1,False,False,False,False,False,True
73,1,2,False,False,False,False,False,True
4,0,-3,False,False,False,False,False,True
76,0,-3,False,False,False,False,False,True
17,0,-5,False,False,True,False,False,False
43,0,-5,False,False,True,False,False,False
53,0,-2,False,False,False,True,False,False
42,1,8,False,False,False,False,False,True
57,1,8,False,False,False,False,False,True
73,1,8,False,False,False,False,False,True
83,1,8,False,False,False,False,False,True
40,1,4,False,False,False,False,False,True
82,1,4,False,False,False,False,False,True
77,0,-3,False,False,False,False,False,True
21,1,3,False,False,False,False,False,True
