Goals_per90,Assists_per90,G_A_per90
1.6363636363636365,1.6363636363636365,3.272727272727273
1.6071428571428572,1.6071428571428572,3.2142857142857144
1.125,1.125,2.25
1.2162162162162162,1.2162162162162162,2.4324324324324325
4.090909090909091,4.090909090909091,8.181818181818182
2.8125,2.8125,5.625
1.3043478260869565,1.3043478260869565,2.608695652173913
1.267605633802817,1.267605633802817,2.535211267605634
1.5517241379310345,1.5517241379310345,3.103448275862069
1.0843373493975903,1.0843373493975903,2.1686746987951806
2.903225806451613,2.903225806451613,5.806451612903226
1.5,1.5,3.0
1.0588235294117647,1.0588235294117647,2.1176470588235294
2.3076923076923075,2.3076923076923075,4.615384615384615
4.090909090909091,4.090909090909091,8.181818181818182
1.6981132075471699,1.6981132075471699,3.3962264150943398
1.0227272727272727,1.0227272727272727,2.0454545454545454
1.0843373493975903,1.0843373493975903,2.1686746987951806
2.903225806451613,2.903225806451613,5.806451612903226
3.6,3.6,7.2
0.989010989010989,0.989010989010989,1.978021978021978
0.989010989010989,0.989010989010989,1.978021978021978
2.3076923076923075,2.3076923076923075,4.615384615384615
2.8125,2.8125,5.625
1.7647058823529411,1.7647058823529411,3.5294117647058822
5.0,5.0,10.0
2.1951219512195124,2.1951219512195124,4.390243902439025
1.1111111111111112,1.1111111111111112,2.2222222222222223
1.0465116279069768,1.0465116279069768,2.0930232558139537
1.0843373493975903,1.0843373493975903,2.1686746987951806
0.7317073170731707,0.7317073170731707,1.4634146341463414
1.8,1.8,3.6
2.0454545454545454,2.0454545454545454,4.090909090909091
1.1111111111111112,1.1111111111111112,2.2222222222222223
1.0227272727272727,1.0227272727272727,2.0454545454545454
1.40625,1.40625,2.8125
1.0112359550561798,1.0112359550561798,2.0224719101123596
1.875,1.875,3.75
4.285714285714286,4.285714285714286,8.571428571428571
0.989010989010989,0.989010989010989,1.978021978021978
2.25,2.25,4.5
1.3636363636363635,1.3636363636363635,2.727272727272727
2.25,2.25,4.5
1.0227272727272727,1.0227272727272727,2.0454545454545454
0.989010989010989,0.989010989010989,1.978021978021978
0.989010989010989,0.989010989010989,1.978021978021978
4.285714285714286,4.285714285714286,8.571428571428571
1.3432835820895523,1.3432835820895523,2.6865671641791047
1.267605633802817,1.267605633802817,2.535211267605634
3.6,3.6,7.2
2.0,2.0,4.0
1.0975609756097562,1.0975609756097562,2.1951219512195124
2.903225806451613,2.903225806451613,5.806451612903226
1.0,1.0,2.0
1.3043478260869565,1.3043478260869565,2.608695652173913
4.5,4.5,9.0
1.4285714285714286,1.4285714285714286,2.857142857142857
18.0,18.0,36.0
2.25,2.25,4.5
1.3636363636363635,1.3636363636363635,2.727272727272727
2.727272727272727,2.727272727272727,5.454545454545454
1.836734693877551,1.836734693877551,3.673469387755102
10.0,10.0,20.0
4.090909090909091,4.090909090909091,8.181818181818182
1.7307692307692308,1.7307692307692308,3.4615384615384617
1.2328767123287672,1.2328767123287672,2.4657534246575343
22.5,22.5,45.0
1.1842105263157894,1.1842105263157894,2.3684210526315788
2.0930232558139537,2.0930232558139537,4.186046511627907
5.294117647058823,5.294117647058823,10.588235294117647
1.6981132075471699,1.6981132075471699,3.3962264150943398
2.142857142857143,2.142857142857143,4.285714285714286
1.5789473684210527,1.5789473684210527,3.1578947368421053
1.2328767123287672,1.2328767123287672,2.4657534246575343
1.0843373493975903,1.0843373493975903,2.1686746987951806
2.25,2.25,4.5
1.0975609756097562,1.0975609756097562,2.1951219512195124
1.1688311688311688,1.1688311688311688,2.3376623376623376
4.285714285714286,4.285714285714286,8.571428571428571
